Data;Unidade;Demanda_Prevista;Modelo;Demanda_Real;Media_Historica;Mediana_Historica;Erro_Abs_IA;Erro_Abs_Media;Perc_Erro_IA
01/10/2025;ACAILANDIA;140;GradientBoosting;180;149,0;144,0;40;31,0;22,22222222222222
02/10/2025;ACAILANDIA;124;GradientBoosting;133;149,0;144,0;9;16,0;6,7669172932330826
03/10/2025;ACAILANDIA;120;GradientBoosting;101;149,0;144,0;19;48,0;18,81188118811881
06/10/2025;ACAILANDIA;160;GradientBoosting;146;149,0;144,0;14;3,0;9,58904109589041
07/10/2025;ACAILANDIA;139;GradientBoosting;191;149,0;144,0;52;42,0;27,225130890052355
08/10/2025;ACAILANDIA;132;GradientBoosting;132;149,0;144,0;0;17,0;0,0
09/10/2025;ACAILANDIA;128;GradientBoosting;108;149,0;144,0;20;41,0;18,51851851851852
10/10/2025;ACAILANDIA;121;GradientBoosting;142;149,0;144,0;21;7,0;14,788732394366196
13/10/2025;ACAILANDIA;149;GradientBoosting;190;149,0;144,0;41;41,0;21,57894736842105
14/10/2025;ACAILANDIA;127;GradientBoosting;126;149,0;144,0;1;23,0;0,7936507936507936
15/10/2025;ACAILANDIA;120;GradientBoosting;167;149,0;144,0;47;18,0;28,143712574850294
16/10/2025;ACAILANDIA;111;GradientBoosting;172;149,0;144,0;61;23,0;35,46511627906977
01/10/2025;ANJO DA GUARDA;156;RandomForest;140;150,41666666666666;152,0;16;10,416666666666655;11,428571428571429
02/10/2025;ANJO DA GUARDA;144;RandomForest;155;150,41666666666666;152,0;11;4,583333333333343;7,096774193548387
03/10/2025;ANJO DA GUARDA;143;RandomForest;127;150,41666666666666;152,0;16;23,416666666666657;12,598425196850393
06/10/2025;ANJO DA GUARDA;191;RandomForest;167;150,41666666666666;152,0;24;16,583333333333343;14,37125748502994
07/10/2025;ANJO DA GUARDA;175;RandomForest;165;150,41666666666666;152,0;10;14,583333333333345;6,0606060606060606
08/10/2025;ANJO DA GUARDA;153;RandomForest;176;150,41666666666666;152,0;23;25,583333333333343;13,068181818181818
09/10/2025;ANJO DA GUARDA;145;RandomForest;149;150,41666666666666;152,0;4;1,4166666666666572;2,684563758389262
10/10/2025;ANJO DA GUARDA;141;RandomForest;132;150,41666666666666;152,0;9;18,416666666666657;6,8181818181818175
13/10/2025;ANJO DA GUARDA;154;RandomForest;159;150,41666666666666;152,0;5;8,583333333333343;3,1446540880503147
14/10/2025;ANJO DA GUARDA;146;RandomForest;145;150,41666666666666;152,0;1;5,416666666666657;0,6896551724137931
15/10/2025;ANJO DA GUARDA;127;RandomForest;159;150,41666666666666;152,0;32;8,583333333333343;20,12578616352201
16/10/2025;ANJO DA GUARDA;119;RandomForest;131;150,41666666666666;152,0;12;19,416666666666657;9,16030534351145
01/10/2025;ARAIOSES;21;ExtraTrees;20;31,58333333333333;23,5;1;11,583333333333332;5,0
02/10/2025;ARAIOSES;16;ExtraTrees;22;31,58333333333333;23,5;6;9,583333333333332;27,27272727272727
03/10/2025;ARAIOSES;15;ExtraTrees;22;31,58333333333333;23,5;7;9,583333333333332;31,818181818181817
06/10/2025;ARAIOSES;23;ExtraTrees;38;31,58333333333333;23,5;15;6,416666666666668;39,47368421052632
07/10/2025;ARAIOSES;18;ExtraTrees;51;31,58333333333333;23,5;33;19,416666666666668;64,70588235294117
08/10/2025;ARAIOSES;17;ExtraTrees;39;31,58333333333333;23,5;22;7,416666666666668;56,41025641025641
09/10/2025;ARAIOSES;16;ExtraTrees;12;31,58333333333333;23,5;4;19,58333333333333;33,33333333333333
10/10/2025;ARAIOSES;14;ExtraTrees;25;31,58333333333333;23,5;11;6,583333333333332;44,0
13/10/2025;ARAIOSES;20;ExtraTrees;74;31,58333333333333;23,5;54;42,41666666666667;72,97297297297297
14/10/2025;ARAIOSES;20;ExtraTrees;38;31,58333333333333;23,5;18;6,416666666666668;47,368421052631575
15/10/2025;ARAIOSES;16;ExtraTrees;19;31,58333333333333;23,5;3;12,583333333333332;15,789473684210526
16/10/2025;ARAIOSES;13;ExtraTrees;19;31,58333333333333;23,5;6;12,583333333333332;31,57894736842105
01/10/2025;ARAME;22;ExtraTrees;27;17,0;16,0;5;10,0;18,51851851851852
02/10/2025;ARAME;20;ExtraTrees;18;17,0;16,0;2;1,0;11,11111111111111
03/10/2025;ARAME;18;ExtraTrees;16;17,0;16,0;2;1,0;12,5
06/10/2025;ARAME;20;ExtraTrees;19;17,0;16,0;1;2,0;5,263157894736842
07/10/2025;ARAME;20;ExtraTrees;16;17,0;16,0;4;1,0;25,0
08/10/2025;ARAME;20;ExtraTrees;31;17,0;16,0;11;14,0;35,483870967741936
09/10/2025;ARAME;18;ExtraTrees;11;17,0;16,0;7;6,0;63,63636363636363
10/10/2025;ARAME;17;ExtraTrees;13;17,0;16,0;4;4,0;30,76923076923077
13/10/2025;ARAME;19;ExtraTrees;17;17,0;16,0;2;0,0;11,76470588235294
15/10/2025;ARAME;17;ExtraTrees;8;17,0;16,0;9;9,0;112,5
16/10/2025;ARAME;16;ExtraTrees;11;17,0;16,0;5;6,0;45,45454545454545
02/10/2025;BACABAL;145;RandomForest;151;131,0;132,0;6;20,0;3,9735099337748343
03/10/2025;BACABAL;137;RandomForest;123;131,0;132,0;14;8,0;11,38211382113821
06/10/2025;BACABAL;147;RandomForest;151;131,0;132,0;4;20,0;2,6490066225165565
07/10/2025;BACABAL;147;RandomForest;154;131,0;132,0;7;23,0;4,545454545454546
08/10/2025;BACABAL;128;RandomForest;145;131,0;132,0;17;14,0;11,724137931034482
09/10/2025;BACABAL;123;RandomForest;115;131,0;132,0;8;16,0;6,956521739130435
10/10/2025;BACABAL;113;RandomForest;95;131,0;132,0;18;36,0;18,947368421052637
13/10/2025;BACABAL;139;RandomForest;136;131,0;132,0;3;5,0;2,2058823529411766
14/10/2025;BACABAL;137;RandomForest;125;131,0;132,0;12;6,0;9,6
15/10/2025;BACABAL;111;RandomForest;132;131,0;132,0;21;1,0;15,909090909090908
16/10/2025;BACABAL;105;RandomForest;114;131,0;132,0;9;17,0;7,894736842105263
01/10/2025;BALSAS;136;RandomForest;204;154,16666666666666;151,0;68;49,83333333333334;33,33333333333333
02/10/2025;BALSAS;131;RandomForest;163;154,16666666666666;151,0;32;8,833333333333343;19,6319018404908
03/10/2025;BALSAS;130;RandomForest;140;154,16666666666666;151,0;10;14,166666666666655;7,142857142857142
06/10/2025;BALSAS;153;RandomForest;156;154,16666666666666;151,0;3;1,8333333333333428;1,9230769230769231
07/10/2025;BALSAS;149;RandomForest;184;154,16666666666666;151,0;35;29,833333333333343;19,021739130434785
08/10/2025;BALSAS;132;RandomForest;158;154,16666666666666;151,0;26;3,833333333333343;16,455696202531644
09/10/2025;BALSAS;135;RandomForest;144;154,16666666666666;151,0;9;10,166666666666655;6,25
10/10/2025;BALSAS;132;RandomForest;113;154,16666666666666;151,0;19;41,16666666666666;16,8141592920354
13/10/2025;BALSAS;148;RandomForest;141;154,16666666666666;151,0;7;13,166666666666655;4,964539007092199
14/10/2025;BALSAS;138;RandomForest;148;154,16666666666666;151,0;10;6,166666666666657;6,756756756756757
15/10/2025;BALSAS;133;RandomForest;145;154,16666666666666;151,0;12;9,166666666666655;8,275862068965518
16/10/2025;BALSAS;130;RandomForest;154;154,16666666666666;151,0;24;0,1666666666666572;15,584415584415584
01/10/2025;BARREIRINHAS;105;ExtraTrees;100;108,5;110,5;5;8,5;5,0
02/10/2025;BARREIRINHAS;102;ExtraTrees;123;108,5;110,5;21;14,5;17,073170731707318
03/10/2025;BARREIRINHAS;104;ExtraTrees;124;108,5;110,5;20;15,5;16,129032258064516
06/10/2025;BARREIRINHAS;126;ExtraTrees;128;108,5;110,5;2;19,5;1,5625
07/10/2025;BARREIRINHAS;111;ExtraTrees;131;108,5;110,5;20;22,5;15,267175572519085
08/10/2025;BARREIRINHAS;96;ExtraTrees;132;108,5;110,5;36;23,5;27,27272727272727
09/10/2025;BARREIRINHAS;95;ExtraTrees;87;108,5;110,5;8;21,5;9,195402298850574
10/10/2025;BARREIRINHAS;94;ExtraTrees;91;108,5;110,5;3;17,5;3,296703296703297
13/10/2025;BARREIRINHAS;112;ExtraTrees;121;108,5;110,5;9;12,5;7,43801652892562
14/10/2025;BARREIRINHAS;106;ExtraTrees;89;108,5;110,5;17;19,5;19,101123595505616
15/10/2025;BARREIRINHAS;95;ExtraTrees;88;108,5;110,5;7;20,5;7,954545454545454
16/10/2025;BARREIRINHAS;92;ExtraTrees;88;108,5;110,5;4;20,5;4,545454545454546
01/10/2025;BOM JARDIM;37;ExtraTrees;52;33,083333333333336;32,0;15;18,916666666666664;28,846153846153843
02/10/2025;BOM JARDIM;35;ExtraTrees;13;33,083333333333336;32,0;22;20,083333333333336;169,23076923076923
03/10/2025;BOM JARDIM;33;ExtraTrees;34;33,083333333333336;32,0;1;0,9166666666666644;2,941176470588235
06/10/2025;BOM JARDIM;41;ExtraTrees;45;33,083333333333336;32,0;4;11,916666666666664;8,88888888888889
07/10/2025;BOM JARDIM;38;ExtraTrees;40;33,083333333333336;32,0;2;6,916666666666664;5,0
08/10/2025;BOM JARDIM;31;ExtraTrees;30;33,083333333333336;32,0;1;3,083333333333336;3,333333333333333
09/10/2025;BOM JARDIM;30;ExtraTrees;24;33,083333333333336;32,0;6;9,083333333333336;25,0
10/10/2025;BOM JARDIM;28;ExtraTrees;27;33,083333333333336;32,0;1;6,083333333333336;3,7037037037037033
13/10/2025;BOM JARDIM;37;ExtraTrees;37;33,083333333333336;32,0;0;3,916666666666664;0,0
14/10/2025;BOM JARDIM;33;ExtraTrees;37;33,083333333333336;32,0;4;3,916666666666664;10,81081081081081
15/10/2025;BOM JARDIM;29;ExtraTrees;30;33,083333333333336;32,0;1;3,083333333333336;3,333333333333333
16/10/2025;BOM JARDIM;28;ExtraTrees;28;33,083333333333336;32,0;0;5,083333333333336;0,0
01/10/2025;BURITICUPU;41;GradientBoosting;61;60,91666666666666;64,0;20;0,0833333333333357;32,78688524590164
02/10/2025;BURITICUPU;52;GradientBoosting;67;60,91666666666666;64,0;15;6,083333333333336;22,388059701492537
03/10/2025;BURITICUPU;50;GradientBoosting;65;60,91666666666666;64,0;15;4,083333333333336;23,07692307692308
06/10/2025;BURITICUPU;72;GradientBoosting;76;60,91666666666666;64,0;4;15,083333333333336;5,263157894736842
07/10/2025;BURITICUPU;65;GradientBoosting;76;60,91666666666666;64,0;11;15,083333333333336;14,473684210526317
08/10/2025;BURITICUPU;59;GradientBoosting;63;60,91666666666666;64,0;4;2,083333333333336;6,349206349206349
09/10/2025;BURITICUPU;58;GradientBoosting;66;60,91666666666666;64,0;8;5,083333333333336;12,12121212121212
10/10/2025;BURITICUPU;53;GradientBoosting;55;60,91666666666666;64,0;2;5,916666666666664;3,636363636363636
13/10/2025;BURITICUPU;61;GradientBoosting;67;60,91666666666666;64,0;6;6,083333333333336;8,955223880597014
14/10/2025;BURITICUPU;53;GradientBoosting;52;60,91666666666666;64,0;1;8,916666666666664;1,9230769230769231
15/10/2025;BURITICUPU;48;GradientBoosting;42;60,91666666666666;64,0;6;18,916666666666664;14,285714285714285
16/10/2025;BURITICUPU;49;GradientBoosting;41;60,91666666666666;64,0;8;19,916666666666664;19,51219512195122
01/10/2025;CAROLINA;19;ExtraTrees;10;25,818181818181817;30,0;9;15,818181818181817;90,0
02/10/2025;CAROLINA;24;ExtraTrees;7;25,818181818181817;30,0;17;18,818181818181817;242,85714285714283
03/10/2025;CAROLINA;25;ExtraTrees;3;25,818181818181817;30,0;22;22,818181818181817;733,3333333333333
06/10/2025;CAROLINA;34;ExtraTrees;10;25,818181818181817;30,0;24;15,818181818181817;240,0
07/10/2025;CAROLINA;36;ExtraTrees;26;25,818181818181817;30,0;10;0,1818181818181834;38,46153846153847
08/10/2025;CAROLINA;30;ExtraTrees;35;25,818181818181817;30,0;5;9,181818181818183;14,285714285714285
09/10/2025;CAROLINA;31;ExtraTrees;40;25,818181818181817;30,0;9;14,181818181818183;22,5
