Data;Unidade;Demanda_Prevista;Modelo;Produtividade_Ref;Atendentes_Necessarios
01/10/2025;ACAILANDIA;140;GradientBoosting;28,2;5
02/10/2025;ACAILANDIA;124;GradientBoosting;28,2;5
03/10/2025;ACAILANDIA;120;GradientBoosting;28,2;5
06/10/2025;ACAILANDIA;164;GradientBoosting;28,2;6
07/10/2025;ACAILANDIA;142;GradientBoosting;28,2;6
08/10/2025;ACAILANDIA;138;GradientBoosting;28,2;5
09/10/2025;ACAILANDIA;135;GradientBoosting;28,2;5
10/10/2025;ACAILANDIA;124;GradientBoosting;28,2;5
13/10/2025;ACAILANDIA;154;GradientBoosting;28,2;6
14/10/2025;ACAILANDIA;130;GradientBoosting;28,2;5
15/10/2025;ACAILANDIA;134;GradientBoosting;28,2;5
16/10/2025;ACAILANDIA;119;GradientBoosting;28,2;5
17/10/2025;ACAILANDIA;117;GradientBoosting;28,2;5
20/10/2025;ACAILANDIA;157;GradientBoosting;28,2;6
21/10/2025;ACAILANDIA;127;GradientBoosting;28,2;5
22/10/2025;ACAILANDIA;114;GradientBoosting;28,2;5
23/10/2025;ACAILANDIA;116;GradientBoosting;28,2;5
24/10/2025;ACAILANDIA;109;GradientBoosting;28,2;4
27/10/2025;ACAILANDIA;150;GradientBoosting;28,2;6
28/10/2025;ACAILANDIA;128;GradientBoosting;28,2;5
29/10/2025;ACAILANDIA;122;GradientBoosting;28,2;5
30/10/2025;ACAILANDIA;113;GradientBoosting;28,2;5
31/10/2025;ACAILANDIA;117;GradientBoosting;28,2;5
03/11/2025;ACAILANDIA;158;GradientBoosting;28,2;6
04/11/2025;ACAILANDIA;131;GradientBoosting;28,2;5
05/11/2025;ACAILANDIA;122;GradientBoosting;28,2;5
06/11/2025;ACAILANDIA;118;GradientBoosting;28,2;5
07/11/2025;ACAILANDIA;116;GradientBoosting;28,2;5
10/11/2025;ACAILANDIA;160;GradientBoosting;28,2;6
11/11/2025;ACAILANDIA;129;GradientBoosting;28,2;5
12/11/2025;ACAILANDIA;116;GradientBoosting;28,2;5
01/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
02/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
03/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
06/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
07/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
08/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
09/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
10/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
13/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
14/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
15/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
16/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
17/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
20/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
21/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
22/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
23/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
24/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
27/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
28/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
29/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
30/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
31/10/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
03/11/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
04/11/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
05/11/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
06/11/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
07/11/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
10/11/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
11/11/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
12/11/2025;ALTO PARNAIBA;3;LightGBM;25,0;1
01/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
02/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
03/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
06/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
07/10/2025;AMARANTE DO MARANHAO;3;LightGBM;26,0;1
08/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
09/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
10/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
13/10/2025;AMARANTE DO MARANHAO;3;LightGBM;26,0;1
14/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
15/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
16/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
17/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
20/10/2025;AMARANTE DO MARANHAO;3;LightGBM;26,0;1
21/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
22/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
23/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
24/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
27/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
28/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
29/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
30/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
31/10/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
03/11/2025;AMARANTE DO MARANHAO;3;LightGBM;26,0;1
04/11/2025;AMARANTE DO MARANHAO;3;LightGBM;26,0;1
05/11/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
06/11/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
07/11/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
10/11/2025;AMARANTE DO MARANHAO;3;LightGBM;26,0;1
11/11/2025;AMARANTE DO MARANHAO;3;LightGBM;26,0;1
12/11/2025;AMARANTE DO MARANHAO;2;LightGBM;26,0;1
01/10/2025;ANJO DA GUARDA;156;RandomForest;38,0;5
02/10/2025;ANJO DA GUARDA;144;RandomForest;38,0;4
03/10/2025;ANJO DA GUARDA;143;RandomForest;38,0;4
06/10/2025;ANJO DA GUARDA;187;RandomForest;38,0;5
07/10/2025;ANJO DA GUARDA;167;RandomForest;38,0;5
08/10/2025;ANJO DA GUARDA;147;RandomForest;38,0;4
09/10/2025;ANJO DA GUARDA;143;RandomForest;38,0;4
10/10/2025;ANJO DA GUARDA;138;RandomForest;38,0;4
13/10/2025;ANJO DA GUARDA;170;RandomForest;38,0;5
14/10/2025;ANJO DA GUARDA;160;RandomForest;38,0;5
15/10/2025;ANJO DA GUARDA;147;RandomForest;38,0;4
16/10/2025;ANJO DA GUARDA;121;RandomForest;38,0;4
17/10/2025;ANJO DA GUARDA;125;RandomForest;38,0;4
20/10/2025;ANJO DA GUARDA;138;RandomForest;38,0;4
21/10/2025;ANJO DA GUARDA;134;RandomForest;38,0;4
22/10/2025;ANJO DA GUARDA;127;RandomForest;38,0;4
23/10/2025;ANJO DA GUARDA;124;RandomForest;38,0;4
24/10/2025;ANJO DA GUARDA;116;RandomForest;38,0;4
27/10/2025;ANJO DA GUARDA;159;RandomForest;38,0;5
28/10/2025;ANJO DA GUARDA;169;RandomForest;38,0;5
29/10/2025;ANJO DA GUARDA;162;RandomForest;38,0;5
30/10/2025;ANJO DA GUARDA;158;RandomForest;38,0;5
31/10/2025;ANJO DA GUARDA;152;RandomForest;38,0;4
03/11/2025;ANJO DA GUARDA;203;RandomForest;38,0;6
04/11/2025;ANJO DA GUARDA;178;RandomForest;38,0;5
05/11/2025;ANJO DA GUARDA;156;RandomForest;38,0;5
06/11/2025;ANJO DA GUARDA;143;RandomForest;38,0;4
07/11/2025;ANJO DA GUARDA;143;RandomForest;38,0;4
10/11/2025;ANJO DA GUARDA;186;RandomForest;38,0;5
11/11/2025;ANJO DA GUARDA;166;RandomForest;38,0;5
12/11/2025;ANJO DA GUARDA;143;RandomForest;38,0;4
01/10/2025;ARAIOSES;21;ExtraTrees;15,0;2
02/10/2025;ARAIOSES;16;ExtraTrees;15,0;2
03/10/2025;ARAIOSES;15;ExtraTrees;15,0;1
06/10/2025;ARAIOSES;24;ExtraTrees;15,0;2
07/10/2025;ARAIOSES;21;ExtraTrees;15,0;2
08/10/2025;ARAIOSES;19;ExtraTrees;15,0;2
09/10/2025;ARAIOSES;15;ExtraTrees;15,0;1
10/10/2025;ARAIOSES;17;ExtraTrees;15,0;2
13/10/2025;ARAIOSES;17;ExtraTrees;15,0;2
14/10/2025;ARAIOSES;16;ExtraTrees;15,0;2
15/10/2025;ARAIOSES;16;ExtraTrees;15,0;2
16/10/2025;ARAIOSES;13;ExtraTrees;15,0;1
17/10/2025;ARAIOSES;11;ExtraTrees;15,0;1
20/10/2025;ARAIOSES;20;ExtraTrees;15,0;2
21/10/2025;ARAIOSES;19;ExtraTrees;15,0;2
22/10/2025;ARAIOSES;16;ExtraTrees;15,0;2
