unidade,data,atendimento
ANJO DA GUARDA,2023-01-02,97
ANJO DA GUARDA,2023-01-03,111
ANJO DA GUARDA,2023-01-04,83
ANJO DA GUARDA,2023-01-05,96
ANJO DA GUARDA,2023-01-06,102
ANJO DA GUARDA,2023-01-09,132
ANJO DA GUARDA,2023-01-10,113
ANJO DA GUARDA,2023-01-11,103
ANJO DA GUARDA,2023-01-12,117
ANJO DA GUARDA,2023-01-13,84
ANJO DA GUARDA,2023-01-16,119
ANJO DA GUARDA,2023-01-17,90
ANJO DA GUARDA,2023-01-18,92
ANJO DA GUARDA,2023-01-19,53
ANJO DA GUARDA,2023-01-20,89
ANJO DA GUARDA,2023-01-23,95
ANJO DA GUARDA,2023-01-24,67
ANJO DA GUARDA,2023-01-25,64
ANJO DA GUARDA,2023-01-26,145
ANJO DA GUARDA,2023-01-27,93
ANJO DA GUARDA,2023-01-30,81
ANJO DA GUARDA,2023-01-31,174
ANJO DA GUARDA,2023-02-01,112
ANJO DA GUARDA,2023-02-02,66
ANJO DA GUARDA,2023-02-03,104
ANJO DA GUARDA,2023-02-06,149
ANJO DA GUARDA,2023-02-07,100
ANJO DA GUARDA,2023-02-08,152
ANJO DA GUARDA,2023-02-09,111
ANJO DA GUARDA,2023-02-10,95
ANJO DA GUARDA,2023-02-13,125
ANJO DA GUARDA,2023-02-14,136
ANJO DA GUARDA,2023-02-15,100
ANJO DA GUARDA,2023-02-16,71
ANJO DA GUARDA,2023-02-17,88
ANJO DA GUARDA,2023-02-22,27
ANJO DA GUARDA,2023-02-23,76
ANJO DA GUARDA,2023-02-24,117
ANJO DA GUARDA,2023-02-27,175
ANJO DA GUARDA,2023-02-28,152
ANJO DA GUARDA,2023-03-01,124
ANJO DA GUARDA,2023-03-02,96
ANJO DA GUARDA,2023-03-03,95
ANJO DA GUARDA,2023-03-06,160
ANJO DA GUARDA,2023-03-07,196
ANJO DA GUARDA,2023-03-08,144
ANJO DA GUARDA,2023-03-09,86
ANJO DA GUARDA,2023-03-10,94
ANJO DA GUARDA,2023-03-13,131
ANJO DA GUARDA,2023-03-14,107
ANJO DA GUARDA,2023-03-15,103
ANJO DA GUARDA,2023-03-16,129
ANJO DA GUARDA,2023-03-17,91
ANJO DA GUARDA,2023-03-20,64
ANJO DA GUARDA,2023-03-21,99
ANJO DA GUARDA,2023-03-22,111
ANJO DA GUARDA,2023-03-23,89
ANJO DA GUARDA,2023-03-24,112
ANJO DA GUARDA,2023-03-27,109
ANJO DA GUARDA,2023-03-28,57
ANJO DA GUARDA,2023-03-29,90
ANJO DA GUARDA,2023-03-30,126
ANJO DA GUARDA,2023-03-31,97
ANJO DA GUARDA,2023-04-03,162
ANJO DA GUARDA,2023-04-04,117
ANJO DA GUARDA,2023-04-05,84
ANJO DA GUARDA,2023-04-06,58
ANJO DA GUARDA,2023-04-10,151
ANJO DA GUARDA,2023-04-11,126
ANJO DA GUARDA,2023-04-12,115
ANJO DA GUARDA,2023-04-13,112
ANJO DA GUARDA,2023-04-14,76
ANJO DA GUARDA,2023-04-17,148
ANJO DA GUARDA,2023-04-18,159
ANJO DA GUARDA,2023-04-19,113
ANJO DA GUARDA,2023-04-20,110
ANJO DA GUARDA,2023-04-24,139
ANJO DA GUARDA,2023-04-25,111
ANJO DA GUARDA,2023-04-26,112
ANJO DA GUARDA,2023-04-27,62
ANJO DA GUARDA,2023-04-28,135
ANJO DA GUARDA,2023-05-02,153
ANJO DA GUARDA,2023-05-03,161
ANJO DA GUARDA,2023-05-04,135
ANJO DA GUARDA,2023-05-05,127
ANJO DA GUARDA,2023-05-08,176
ANJO DA GUARDA,2023-05-09,160
ANJO DA GUARDA,2023-05-10,132
ANJO DA GUARDA,2023-05-11,105
ANJO DA GUARDA,2023-05-12,89
ANJO DA GUARDA,2023-05-15,136
ANJO DA GUARDA,2023-05-16,122
ANJO DA GUARDA,2023-05-17,115
ANJO DA GUARDA,2023-05-18,117
ANJO DA GUARDA,2023-05-19,76
ANJO DA GUARDA,2023-05-22,128
ANJO DA GUARDA,2023-05-23,104
ANJO DA GUARDA,2023-05-24,63
ANJO DA GUARDA,2023-05-25,101
ANJO DA GUARDA,2023-05-26,106
ANJO DA GUARDA,2023-05-29,181
ANJO DA GUARDA,2023-05-30,138
ANJO DA GUARDA,2023-05-31,142
ANJO DA GUARDA,2023-06-01,107
ANJO DA GUARDA,2023-06-02,97
ANJO DA GUARDA,2023-06-05,122
ANJO DA GUARDA,2023-06-06,126
ANJO DA GUARDA,2023-06-07,123
ANJO DA GUARDA,2023-06-08,35
ANJO DA GUARDA,2023-06-09,124
ANJO DA GUARDA,2023-06-12,138
ANJO DA GUARDA,2023-06-13,121
ANJO DA GUARDA,2023-06-14,123
ANJO DA GUARDA,2023-06-15,128
ANJO DA GUARDA,2023-06-16,84
ANJO DA GUARDA,2023-06-19,107
ANJO DA GUARDA,2023-06-20,126
ANJO DA GUARDA,2023-06-21,93
ANJO DA GUARDA,2023-06-22,81
ANJO DA GUARDA,2023-06-23,79
ANJO DA GUARDA,2023-06-26,155
ANJO DA GUARDA,2023-06-27,130
ANJO DA GUARDA,2023-06-28,126
ANJO DA GUARDA,2023-06-30,84
ANJO DA GUARDA,2023-07-03,178
ANJO DA GUARDA,2023-07-04,144
ANJO DA GUARDA,2023-07-05,140
ANJO DA GUARDA,2023-07-06,127
ANJO DA GUARDA,2023-07-07,106
ANJO DA GUARDA,2023-07-10,186
ANJO DA GUARDA,2023-07-11,168
ANJO DA GUARDA,2023-07-12,114
ANJO DA GUARDA,2023-07-13,134
ANJO DA GUARDA,2023-07-14,102
ANJO DA GUARDA,2023-07-17,149
ANJO DA GUARDA,2023-07-18,103
ANJO DA GUARDA,2023-07-19,117
ANJO DA GUARDA,2023-07-21,142
ANJO DA GUARDA,2023-07-24,106
ANJO DA GUARDA,2023-07-25,137
ANJO DA GUARDA,2023-07-26,140
ANJO DA GUARDA,2023-07-27,119
ANJO DA GUARDA,2023-07-31,188
ANJO DA GUARDA,2023-08-01,159
ANJO DA GUARDA,2023-08-02,161
ANJO DA GUARDA,2023-08-03,119
ANJO DA GUARDA,2023-08-04,93
ANJO DA GUARDA,2023-08-07,169
ANJO DA GUARDA,2023-08-08,164
ANJO DA GUARDA,2023-08-09,118
ANJO DA GUARDA,2023-08-10,135
ANJO DA GUARDA,2023-08-11,74
ANJO DA GUARDA,2023-08-14,150
ANJO DA GUARDA,2023-08-15,12
