data;real;estatico;retreino;unidade;modelo
2025-10-01;140.0;161.0;160.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-02;155.0;151.0;151.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-03;127.0;152.0;152.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-06;167.0;186.0;194.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-07;165.0;167.0;163.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-08;176.0;154.0;154.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-09;149.0;158.0;157.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-10;132.0;162.0;155.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-13;159.0;178.0;176.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-14;145.0;175.0;169.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-15;159.0;139.0;141.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-16;131.0;152.0;152.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-02;151.0;122.0;125.0;BACABAL;DecisionTreeRegressor
2025-10-03;123.0;136.0;132.0;BACABAL;DecisionTreeRegressor
2025-10-06;151.0;149.0;144.0;BACABAL;DecisionTreeRegressor
2025-10-07;154.0;157.0;158.0;BACABAL;DecisionTreeRegressor
2025-10-08;145.0;136.0;131.0;BACABAL;DecisionTreeRegressor
2025-10-09;115.0;131.0;136.0;BACABAL;DecisionTreeRegressor
2025-10-10;95.0;125.0;128.0;BACABAL;DecisionTreeRegressor
2025-10-13;136.0;144.0;150.0;BACABAL;DecisionTreeRegressor
2025-10-14;125.0;135.0;133.0;BACABAL;DecisionTreeRegressor
2025-10-15;132.0;108.0;117.0;BACABAL;DecisionTreeRegressor
2025-10-16;114.0;119.0;125.0;BACABAL;DecisionTreeRegressor
2025-10-01;108.0;117.0;116.0;CHAPADINHA;DecisionTreeRegressor
2025-10-02;118.0;109.0;106.0;CHAPADINHA;DecisionTreeRegressor
2025-10-03;133.0;113.0;108.0;CHAPADINHA;DecisionTreeRegressor
2025-10-06;128.0;129.0;133.0;CHAPADINHA;DecisionTreeRegressor
2025-10-07;121.0;134.0;136.0;CHAPADINHA;DecisionTreeRegressor
2025-10-08;147.0;116.0;112.0;CHAPADINHA;DecisionTreeRegressor
2025-10-09;106.0;127.0;128.0;CHAPADINHA;DecisionTreeRegressor
2025-10-10;97.0;104.0;103.0;CHAPADINHA;DecisionTreeRegressor
2025-10-13;106.0;123.0;123.0;CHAPADINHA;DecisionTreeRegressor
2025-10-14;123.0;98.0;102.0;CHAPADINHA;DecisionTreeRegressor
2025-10-15;87.0;85.0;93.0;CHAPADINHA;DecisionTreeRegressor
2025-10-16;99.0;95.0;103.0;CHAPADINHA;DecisionTreeRegressor
2025-10-01;262.0;279.0;285.0;COHAFUMA;DecisionTreeRegressor
2025-10-02;286.0;281.0;283.0;COHAFUMA;DecisionTreeRegressor
2025-10-03;257.0;286.0;284.0;COHAFUMA;DecisionTreeRegressor
2025-10-06;273.0;263.0;263.0;COHAFUMA;DecisionTreeRegressor
2025-10-07;297.0;307.0;323.0;COHAFUMA;DecisionTreeRegressor
2025-10-08;238.0;285.0;297.0;COHAFUMA;DecisionTreeRegressor
2025-10-09;238.0;268.0;268.0;COHAFUMA;DecisionTreeRegressor
2025-10-10;212.0;247.0;248.0;COHAFUMA;DecisionTreeRegressor
2025-10-13;237.0;260.0;255.0;COHAFUMA;DecisionTreeRegressor
2025-10-14;321.0;242.0;237.0;COHAFUMA;DecisionTreeRegressor
2025-10-15;311.0;235.0;228.0;COHAFUMA;DecisionTreeRegressor
2025-10-16;213.0;294.0;291.0;COHAFUMA;DecisionTreeRegressor
2025-10-01;262.0;281.0;260.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-02;372.0;295.0;290.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-03;245.0;270.0;273.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-06;244.0;270.0;282.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-07;410.0;294.0;300.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-08;372.0;280.0;287.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-09;269.0;293.0;281.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-10;202.0;301.0;307.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-13;241.0;290.0;302.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-14;337.0;306.0;307.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-16;246.0;278.0;305.0;IMPERATRIZ;DecisionTreeRegressor
