unidade;servicos;mes_ano;total
ACAILANDIA;1ª VIA DE CONTA;2025-02;5
ACAILANDIA;1ª VIA DE CONTA;2025-03;21
ACAILANDIA;1ª VIA DE CONTA;2025-04;31
ACAILANDIA;1ª VIA DE CONTA;2025-05;9
ACAILANDIA;1ª VIA DE CONTA;2025-06;7
ACAILANDIA;1ª VIA DE CONTA;2025-07;6
ACAILANDIA;1ª VIA DE CONTA;2025-08;5
ACAILANDIA;1ª VIA DE CONTA;2025-09;15
ACAILANDIA;1ª VIA DE CONTA;2025-10;1
ACAILANDIA;ACUMULO DE CONSUMO;2023-11;1
ACAILANDIA;ACUMULO DE CONSUMO;2024-06;1
ACAILANDIA;ACUMULO DE CONSUMO;2024-09;1
ACAILANDIA;ACUMULO DE CONSUMO;2024-10;2
ACAILANDIA;ACUMULO DE CONSUMO;2024-11;5
ACAILANDIA;ACUMULO DE CONSUMO;2024-12;1
ACAILANDIA;ACUMULO DE CONSUMO;2025-01;2
ACAILANDIA;ACUMULO DE CONSUMO;2025-02;4
ACAILANDIA;ACUMULO DE CONSUMO;2025-03;2
ACAILANDIA;ACUMULO DE CONSUMO;2025-05;2
ACAILANDIA;ACUMULO DE CONSUMO;2025-06;1
ACAILANDIA;ACUMULO DE CONSUMO;2025-07;5
ACAILANDIA;ACUMULO DE CONSUMO;2025-08;4
ACAILANDIA;ACUMULO DE CONSUMO;2025-09;5
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-01;26
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-02;16
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-03;17
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-04;16
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-05;16
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-06;19
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-07;19
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-08;15
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-09;20
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-10;17
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-11;18
ACAILANDIA;ALTERAÇÃO CADASTRAL;2023-12;17
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-01;23
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-02;29
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-03;24
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-04;37
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-05;32
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-06;30
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-07;25
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-08;33
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-09;27
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-10;47
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-11;30
ACAILANDIA;ALTERAÇÃO CADASTRAL;2024-12;26
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-01;34
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-02;19
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-03;31
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-04;27
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-05;20
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-06;22
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-07;20
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-08;31
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-09;18
ACAILANDIA;ALTERAÇÃO CADASTRAL;2025-10;4
ACAILANDIA;APOIO AO CREDENCIADO;2025-04;1
ACAILANDIA;APRESENTAÇÃO FATURA;2023-01;4
ACAILANDIA;APRESENTAÇÃO FATURA;2023-03;3
ACAILANDIA;APRESENTAÇÃO FATURA;2023-06;1
ACAILANDIA;APRESENTAÇÃO FATURA;2023-07;1
ACAILANDIA;APRESENTAÇÃO FATURA;2023-11;3
ACAILANDIA;APRESENTAÇÃO FATURA;2024-04;5
ACAILANDIA;APRESENTAÇÃO FATURA;2024-05;4
ACAILANDIA;APRESENTAÇÃO FATURA;2024-08;1
ACAILANDIA;APRESENTAÇÃO FATURA;2025-01;2
ACAILANDIA;APRESENTAÇÃO FATURA;2025-02;5
ACAILANDIA;APRESENTAÇÃO FATURA;2025-03;1
ACAILANDIA;APRESENTAÇÃO FATURA;2025-04;2
ACAILANDIA;APRESENTAÇÃO FATURA;2025-05;5
ACAILANDIA;APRESENTAÇÃO FATURA;2025-06;1
ACAILANDIA;APRESENTAÇÃO FATURA;2025-07;10
ACAILANDIA;APRESENTAÇÃO FATURA;2025-08;6
ACAILANDIA;APRESENTAÇÃO FATURA;2025-09;2
ACAILANDIA;APRESENTAÇÃO FATURA;2025-10;5
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-01;1
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-02;1
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-04;1
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-05;2
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-06;6
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-07;3
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-08;2
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-09;2
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-10;1
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-11;2
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2023-12;1
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2024-01;3
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2024-02;4
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2024-03;1
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2024-06;1
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2024-09;3
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2024-12;2
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-01;3
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-02;2
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-03;1
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-05;6
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-06;4
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-07;6
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-08;4
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-09;9
ACAILANDIA;ATENDIMENTO REALIZADO EM CONTINGÊNCIA.;2025-10;2
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2023-07;194
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2023-08;308
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2023-09;163
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2023-10;243
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2023-11;217
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2023-12;293
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-01;243
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-02;145
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-03;158
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-04;213
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-05;196
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-06;70
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-07;124
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-08;104
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-09;22
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-10;71
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-11;91
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2024-12;14
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2025-01;12
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2025-02;1
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2025-04;1
ACAILANDIA;ATENDIMENTO REALIZADO NA TRIAGEM;2025-08;2
